file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,size
passthrough_ll-tmpfs-2-5000-1.txt,,,,0.117173,2034.50,passthrough_ll,tmpfs,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_ll-tmpfs-2-5000-2.txt,,,,0.169455,2813.67,passthrough_ll,tmpfs,2,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough-tmpfs-1-2000-1.txt,,,,0.093334,1021.61,passthrough,tmpfs,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough-tmpfs-1-2000-2.txt,,,,0.107008,1782.23,passthrough,tmpfs,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough-tmpfs-1-5000-1.txt,,,,0.112501,2118.99,passthrough,tmpfs,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough-tmpfs-1-5000-2.txt,,,,0.156170,3053.03,passthrough,tmpfs,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough-tmpfs-2-2000-1.txt,,,,0.082629,1153.97,passthrough,tmpfs,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough-tmpfs-2-2000-2.txt,,,,0.106868,1784.50,passthrough,tmpfs,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough-tmpfs-2-5000-1.txt,,,,0.112393,2120.86,passthrough,tmpfs,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough-tmpfs-2-5000-2.txt,,,,0.183309,2601.05,passthrough,tmpfs,2,,,5000,write,ior,,,,,,,,,,,2,5000
