file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough-fuse-3-200-1000-4.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,1.2316e-04,1.4239e-04,1.7150e-04,1.8942e-04,1.9349e-04,2.1140e-04,2.2673e-04,2.4333e-04,2.5463e-04,2.8250e-04,3.2188e-04,3.6711e-04,4.4212e-04,6.6612e-04,,,,,,,,,4,21790.5,5447.6,1
passthrough-fuse-3-500-1000-1.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,8.8677e-05,9.7291e-05,9.2092e-05,1.0123e-04,9.3319e-05,1.0287e-04,9.5317e-05,1.0477e-04,1.1119e-04,1.1327e-04,1.6796e-04,1.5429e-04,2.3636e-04,2.2650e-04,,,,,,,,,1,11439.4,2859.8,1
passthrough-fuse-3-500-1000-1.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,8.8677e-05,9.7291e-05,9.2092e-05,1.0123e-04,9.3319e-05,1.0287e-04,9.5317e-05,1.0477e-04,1.1119e-04,1.1327e-04,1.6796e-04,1.5429e-04,2.3636e-04,2.2650e-04,,,,,,,,,1,11439.4,2859.8,1
passthrough-fuse-3-500-1000-2.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,9.4930e-05,1.0954e-04,1.2288e-04,1.3461e-04,1.2797e-04,1.4014e-04,1.3369e-04,1.4577e-04,1.4072e-04,1.5199e-04,1.9352e-04,1.9620e-04,1.0442e-03,2.3861e-04,,,,,,,,,2,17030.8,4257.7,1
passthrough-fuse-3-500-1000-2.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,9.4930e-05,1.0954e-04,1.2288e-04,1.3461e-04,1.2797e-04,1.4014e-04,1.3369e-04,1.4577e-04,1.4072e-04,1.5199e-04,1.9352e-04,1.9620e-04,1.0442e-03,2.3861e-04,,,,,,,,,2,17030.8,4257.7,0
passthrough-fuse-3-500-1000-3.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,9.1868e-05,1.0136e-04,1.5200e-04,1.6543e-04,1.6307e-04,1.7785e-04,1.7618e-04,1.9206e-04,1.9117e-04,2.0788e-04,2.3710e-04,2.5047e-04,4.0875e-04,3.8547e-04,,,,,,,,,3,20089.9,5022.5,0
passthrough-fuse-3-500-1000-3.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,9.1868e-05,1.0136e-04,1.5200e-04,1.6543e-04,1.6307e-04,1.7785e-04,1.7618e-04,1.9206e-04,1.9117e-04,2.0788e-04,2.3710e-04,2.5047e-04,4.0875e-04,3.8547e-04,,,,,,,,,3,20089.9,5022.5,1
passthrough-fuse-3-500-1000-4.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,1.2540e-04,1.3132e-04,1.6859e-04,1.8598e-04,1.8902e-04,2.0862e-04,2.1659e-04,2.3736e-04,2.4876e-04,2.7236e-04,3.2145e-04,3.5604e-04,8.4135e-04,4.7579e-04,,,,,,,,,4,22229.5,5557.4,1
passthrough-fuse-3-500-1000-4.txt,,,,,,passthrough,fuse,3,,,500,1000,,md,1.2540e-04,1.3132e-04,1.6859e-04,1.8598e-04,1.8902e-04,2.0862e-04,2.1659e-04,2.3736e-04,2.4876e-04,2.7236e-04,3.2145e-04,3.5604e-04,8.4135e-04,4.7579e-04,,,,,,,,,4,22229.5,5557.4,1
passthrough-tmpfs-1-200-1000-1.txt,,,,,,passthrough,tmpfs,1,,,200,1000,,md,4.4190e-06,6.9980e-06,4.9600e-06,7.7100e-06,5.2800e-06,8.2340e-06,1.4369e-05,2.1791e-05,2.3688e-05,4.8070e-05,6.9804e-05,1.1455e-04,1.2717e-04,1.1899e-04,,,,,,,,,1,80829.9,20207.5,1
passthrough-tmpfs-1-200-1000-1.txt,,,,,,passthrough,tmpfs,1,,,200,1000,,md,4.4190e-06,6.9980e-06,4.9600e-06,7.7100e-06,5.2800e-06,8.2340e-06,1.4369e-05,2.1791e-05,2.3688e-05,4.8070e-05,6.9804e-05,1.1455e-04,1.2717e-04,1.1899e-04,,,,,,,,,1,80829.9,20207.5,0
